dataset_name,model_type,batch_size,hidden_channels,num_layers,learning_rate,epochs,name,training_time,computation_time,peak_memory,throughput,computation_throughput
MD17,alternative_sum,32,128,7,0.0001,10,aspirin,3.7935967445373535,3.2173869609832764,167.476736,2.636020819661354,3.1081123039498695
MD17,std_concat,64,32,7,0.0001,10,aspirin,1.9243707656860352,1.0433526039123535,801.025024,5.1965038018206515,9.58448750930615
MD17,alternative_sum,64,32,7,0.0001,10,aspirin,1.9159667491912842,0.9993922710418701,110.934016,5.219297257753,10.006080985172082
MD17,std_concat,64,64,7,0.0001,10,aspirin,2.300297498703003,1.5398776531219482,1297.412096,4.347263780288588,6.494022417771956
MD17,alternative_sum,64,64,7,0.0001,10,aspirin,2.369492292404175,1.5888969898223877,176.936448,4.220313369263434,6.293674205473719
MD17,std_concat,64,128,7,0.0001,10,aspirin,3.3213016986846924,2.595423698425293,2295.901696,3.010867698035447,3.852935459465537
MD17,alternative_sum,64,128,7,0.0001,10,aspirin,3.3260955810546875,2.6556568145751953,309.84448,3.006528151794439,3.76554679246069
MD17,std_concat,128,32,7,0.0001,10,aspirin,2.187865972518921,1.0427656173706055,1574.915584,4.570663891484568,9.589882743943539
MD17,alternative_sum,128,32,7,0.0001,10,aspirin,2.0173137187957764,0.8463232517242432,204.885504,4.957087193145864,11.815816213989939
MD17,std_concat,128,64,7,0.0001,10,aspirin,2.6450300216674805,1.4582180976867676,2570.916864,3.780675424506448,6.857684742675612
MD17,alternative_sum,128,64,7,0.0001,10,aspirin,2.5331952571868896,1.4115464687347412,332.2496,3.94758357912962,7.084428477203188
MD17,std_concat,128,128,7,0.0001,10,aspirin,3.7868621349334717,2.5612642765045166,4544.321536,2.640708756664489,3.904321819397525
MD17,alternative_sum,128,128,7,0.0001,10,aspirin,3.762230157852173,2.53479266166687,593.938432,2.6579979375076084,3.945095845994772
MD17,std_concat,256,32,7,0.0001,10,aspirin,2.1699905395507812,1.0117874145507812,3116.35968,4.6083150215346755,9.883499098908889
MD17,alternative_sum,256,32,7,0.0001,10,aspirin,2.104557752609253,0.7915759086608887,386.093056,4.751592104137743,12.633027218977684
MD17,std_concat,256,64,7,0.0001,10,aspirin,2.7972497940063477,1.4503941535949707,5100.125696,3.5749399361569165,6.894677543489704
MD17,alternative_sum,256,64,7,0.0001,10,aspirin,2.463834762573242,1.3275935649871826,643.319296,4.058713738398572,7.532425784314905
MD17,std_concat,256,128,7,0.0001,10,aspirin,3.7090847492218018,2.577367067337036,9051.421184,2.6960829088896086,3.879928523464882
MD17,alternative_sum,256,128,7,0.0001,10,aspirin,3.5671849250793457,2.432058095932007,1156.516352,2.803330976674154,4.111743883391004
