dataset_name,model_type,batch_size,hidden_channels,num_layers,learning_rate,epochs,num_nodes,density,num_graphs,training_time,computation_time,peak_memory,throughput,computation_throughput
FakeDataset_50,std_concat,128,32,7,0.0001,10,50,0.01,1024,0.7541584968566895,0.5430850982666016,208.556032,13.259812150469308,18.413320549427006
FakeDataset_50,alternative_sum,128,32,7,0.0001,10,50,0.01,1024,0.8925504684448242,0.6620261669158936,147.771392,11.2038482456056,15.105143119320902
FakeDataset_50,std_concat,128,64,7,0.0001,10,50,0.01,1024,0.7773311138153076,0.551790714263916,245.221888,12.864530728633591,18.122813127328378
FakeDataset_50,alternative_sum,128,64,7,0.0001,10,50,0.01,1024,0.8761091232299805,0.65035080909729,158.908416,11.414103260485028,15.376316689573054
FakeDataset_50,std_concat,128,128,7,0.0001,10,50,0.01,1024,0.7697081565856934,0.5458855628967285,307.042304,12.991937157530534,18.318857796742677
FakeDataset_50,alternative_sum,128,128,7,0.0001,10,50,0.01,1024,0.9333431720733643,0.721224308013916,191.286272,10.714172770756566,13.865311927072556
FakeDataset_50,std_concat,256,32,7,0.0001,10,50,0.01,1024,0.6676678657531738,0.4235997200012207,405.472256,14.977506800809312,23.607192185989128
FakeDataset_50,alternative_sum,256,32,7,0.0001,10,50,0.01,1024,0.7711257934570312,0.5419492721557617,276.274176,12.968052793525471,18.451911486516213
FakeDataset_50,std_concat,256,64,7,0.0001,10,50,0.01,1024,0.6043672561645508,0.36987733840942383,458.95168,16.546230620537298,27.035989939266898
FakeDataset_50,alternative_sum,256,64,7,0.0001,10,50,0.01,1024,0.704453706741333,0.47992897033691406,295.699968,14.195396949869242,20.836416674283942
FakeDataset_50,std_concat,256,128,7,0.0001,10,50,0.01,1024,0.6274559497833252,0.40560412406921387,577.723392,15.937373776522842,24.654581663705077
FakeDataset_50,alternative_sum,256,128,7,0.0001,10,50,0.01,1024,0.7581155300140381,0.5212373733520508,343.671296,13.190601701319626,19.185117014327876
FakeDataset_50,std_concat,512,32,7,0.0001,10,50,0.01,1024,0.5330915451049805,0.22489500045776367,777.951232,18.758504222817347,44.46519477820961
FakeDataset_50,alternative_sum,512,32,7,0.0001,10,50,0.01,1024,0.5982935428619385,0.28786802291870117,526.896128,16.714203452982257,34.73814110580865
FakeDataset_50,std_concat,512,64,7,0.0001,10,50,0.01,1024,0.5165023803710938,0.2074730396270752,893.407744,19.360994992540512,48.199033561057455
FakeDataset_50,alternative_sum,512,64,7,0.0001,10,50,0.01,1024,0.5607013702392578,0.2541074752807617,566.982144,17.83480571080624,39.35342708415431
FakeDataset_50,std_concat,512,128,7,0.0001,10,50,0.01,1024,0.5422139167785645,0.2341444492340088,1125.700096,18.44290544848541,42.70867847909473
FakeDataset_50,alternative_sum,512,128,7,0.0001,10,50,0.01,1024,0.5920114517211914,0.28369784355163574,655.049216,16.89156513936746,35.248769870116774
FakeDataset_50,std_concat,1024,32,7,0.0001,10,50,0.01,1024,0.5428576469421387,0.1050410270690918,1246.047744,18.421035526217548,95.20089701162574
FakeDataset_50,alternative_sum,1024,32,7,0.0001,10,50,0.01,1024,0.556318998336792,0.11978006362915039,825.696256,17.97529839875442,83.48634736879819
FakeDataset_50,std_concat,1024,64,7,0.0001,10,50,0.01,1024,0.5557055473327637,0.11967945098876953,1406.349312,17.995141578120453,83.55653303371503
FakeDataset_50,alternative_sum,1024,64,7,0.0001,10,50,0.01,1024,0.5575556755065918,0.12288284301757812,907.96544,17.935428584623516,81.3783255207525
FakeDataset_50,std_concat,1024,128,7,0.0001,10,50,0.01,1024,0.6077530384063721,0.16551780700683594,1797.51936,16.45405184023701,60.41646020350546
FakeDataset_50,alternative_sum,1024,128,7,0.0001,10,50,0.01,1024,0.5652155876159668,0.13065814971923828,1046.145536,17.692364151136,76.53560089047845
FakeDataset_50,std_concat,128,32,7,0.0001,10,50,0.1,1024,1.04632568359375,0.7367537021636963,420.95616,9.557253689552587,13.573057007561722
FakeDataset_50,alternative_sum,128,32,7,0.0001,10,50,0.1,1024,1.2221884727478027,0.9292447566986084,255.015424,8.182044114290619,10.761427415020007
FakeDataset_50,std_concat,128,64,7,0.0001,10,50,0.1,1024,0.985553503036499,0.6814384460449219,488.895488,10.146582574350264,14.674839757046492
FakeDataset_50,alternative_sum,128,64,7,0.0001,10,50,0.1,1024,1.1497180461883545,0.8611419200897217,273.48992,8.69778467264463,11.61248775226052
FakeDataset_50,std_concat,128,128,7,0.0001,10,50,0.1,1024,1.596099853515625,0.6998341083526611,603.593728,6.265272174528212,14.289100632061205
FakeDataset_50,alternative_sum,128,128,7,0.0001,10,50,0.1,1024,1.193207025527954,0.8866474628448486,297.430016,8.380775327379032,11.278439762196518
FakeDataset_50,std_concat,256,32,7,0.0001,10,50,0.1,1024,0.7848126888275146,0.4365241527557373,810.86464,12.741893884182332,22.90823986913647
FakeDataset_50,alternative_sum,256,32,7,0.0001,10,50,0.1,1024,0.885319709777832,0.5609285831451416,496.360448,11.295354536396198,17.82758144348739
FakeDataset_50,std_concat,256,64,7,0.0001,10,50,0.1,1024,0.7628209590911865,0.41019558906555176,919.174144,13.109236028220632,24.378614169841644
FakeDataset_50,alternative_sum,256,64,7,0.0001,10,50,0.1,1024,0.8492958545684814,0.498701810836792,506.347008,11.774459920189882,20.05206274110093
FakeDataset_50,std_concat,256,128,7,0.0001,10,50,0.1,1024,0.8113560676574707,0.49307870864868164,1155.447808,12.325044944658858,20.28073779013037
FakeDataset_50,alternative_sum,256,128,7,0.0001,10,50,0.1,1024,0.8853962421417236,0.5351974964141846,545.970176,11.294378182372407,18.684691290598057
FakeDataset_50,std_concat,512,32,7,0.0001,10,50,0.1,1024,0.7452239990234375,0.2708616256713867,1560.3456,13.418784168390015,36.919220193015256
FakeDataset_50,alternative_sum,512,32,7,0.0001,10,50,0.1,1024,0.7830779552459717,0.3073101043701172,937.904128,12.7701206923376,32.54042043458562
FakeDataset_50,std_concat,512,64,7,0.0001,10,50,0.1,1024,0.7730412483215332,0.2927229404449463,1803.22816,12.935920329882155,34.16199627128556
FakeDataset_50,alternative_sum,512,64,7,0.0001,10,50,0.1,1024,0.7618913650512695,0.28317785263061523,980.38784,13.125230785791981,35.31349611950151
FakeDataset_50,std_concat,512,128,7,0.0001,10,50,0.1,1024,0.8657786846160889,0.38797521591186523,2279.087616,11.550295910131222,25.77484228340931
FakeDataset_50,alternative_sum,512,128,7,0.0001,10,50,0.1,1024,0.7832973003387451,0.3011305332183838,1061.569536,12.766544702344046,33.20819012646542
FakeDataset_50,std_concat,1024,32,7,0.0001,10,50,0.1,1024,0.9282927513122559,0.23161005973815918,2471.807488,10.772463736104555,43.17601753268077
FakeDataset_50,alternative_sum,1024,32,7,0.0001,10,50,0.1,1024,0.9129910469055176,0.21581697463989258,1480.33792,10.953009926980004,46.335558251086496
FakeDataset_50,std_concat,1024,64,7,0.0001,10,50,0.1,1024,0.9875473976135254,0.2864246368408203,2855.565824,10.126096250332562,34.91319779714855
FakeDataset_50,alternative_sum,1024,64,7,0.0001,10,50,0.1,1024,0.9112918376922607,0.21728205680847168,1536.041984,10.973433082999868,46.02312840224415
FakeDataset_50,std_concat,1024,128,7,0.0001,10,50,0.1,1024,1.0807218551635742,0.37960243225097656,3598.3488,9.25307464841306,26.34335070168475
FakeDataset_50,alternative_sum,1024,128,7,0.0001,10,50,0.1,1024,0.9276127815246582,0.2303311824798584,1683.338752,10.780360295988629,43.41574550321454
FakeDataset_50,std_concat,128,32,7,0.0001,10,50,0.5,1024,1.6991488933563232,0.9851257801055908,1547.600384,5.885299422022418,10.150988028075105
FakeDataset_50,alternative_sum,128,32,7,0.0001,10,50,0.5,1024,1.749009370803833,1.0257680416107178,856.807936,5.7175222539854476,9.748792703950345
FakeDataset_50,std_concat,128,64,7,0.0001,10,50,0.5,1024,1.8250648975372314,1.0992345809936523,1764.25984,5.479257210795157,9.097239272585936
FakeDataset_50,alternative_sum,128,64,7,0.0001,10,50,0.5,1024,1.6943817138671875,0.9606184959411621,874.884608,5.901857838855218,10.409959877154499
FakeDataset_50,std_concat,128,128,7,0.0001,10,50,0.5,1024,2.212817907333374,1.4737637042999268,2218.401792,4.519124672147477,6.785348269076989
FakeDataset_50,alternative_sum,128,128,7,0.0001,10,50,0.5,1024,1.7245664596557617,1.0038764476776123,894.480896,5.798558787926379,9.961385211431345
FakeDataset_50,std_concat,256,32,7,0.0001,10,50,0.5,1024,1.9680755138397217,1.0577476024627686,3008.405504,5.081105846639984,9.454051209113459
FakeDataset_50,alternative_sum,256,32,7,0.0001,10,50,0.5,1024,1.8750896453857422,0.9435458183288574,1672.940032,5.333078354204663,10.598319451737174
FakeDataset_50,std_concat,256,64,7,0.0001,10,50,0.5,1024,2.1252365112304688,1.243675708770752,3458.557952,4.705358649334611,8.0406812881181
FakeDataset_50,alternative_sum,256,64,7,0.0001,10,50,0.5,1024,1.8397431373596191,0.9235701560974121,1683.948544,5.435541406259517,10.827547787225452
FakeDataset_50,std_concat,256,128,7,0.0001,10,50,0.5,1024,2.519862651824951,1.5477631092071533,4357.557248,3.968470262757272,6.460937039081215
FakeDataset_50,alternative_sum,256,128,7,0.0001,10,50,0.5,1024,1.8345050811767578,0.9506533145904541,1728.756736,5.451061489339359,10.519081821439865
FakeDataset_50,std_concat,512,32,7,0.0001,10,50,0.5,1024,2.331272840499878,1.0886564254760742,5912.44544,4.289502209383511,9.18563448116972
FakeDataset_50,alternative_sum,512,32,7,0.0001,10,50,0.5,1024,2.135664701461792,0.8816375732421875,3301.886976,4.682382957004126,11.342529292649578
